category,title,url,pages,words,outcome,reason
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ63/pdf/PLAW-118publ63.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ63/pdf/PLAW-118publ63.pdf,410,184552,skip,too long (410p > 60)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ62/pdf/PLAW-118publ62.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ62/pdf/PLAW-118publ62.pdf,4,1058,skip,too short (4p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ61/pdf/PLAW-118publ61.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ61/pdf/PLAW-118publ61.pdf,1,212,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ60/pdf/PLAW-118publ60.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ60/pdf/PLAW-118publ60.pdf,4,1000,skip,too short (4p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ6/pdf/PLAW-118publ6.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ6/pdf/PLAW-118publ6.pdf,2,556,skip,too short (2p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ59/pdf/PLAW-118publ59.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ59/pdf/PLAW-118publ59.pdf,5,1527,skip,too short (5p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ58/pdf/PLAW-118publ58.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ58/pdf/PLAW-118publ58.pdf,1,197,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ57/pdf/PLAW-118publ57.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ57/pdf/PLAW-118publ57.pdf,1,204,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ56/pdf/PLAW-118publ56.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ56/pdf/PLAW-118publ56.pdf,1,199,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ55/pdf/PLAW-118publ55.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ55/pdf/PLAW-118publ55.pdf,1,247,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ54/pdf/PLAW-118publ54.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ54/pdf/PLAW-118publ54.pdf,1,208,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ53/pdf/PLAW-118publ53.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ53/pdf/PLAW-118publ53.pdf,1,199,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ52/pdf/PLAW-118publ52.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ52/pdf/PLAW-118publ52.pdf,1,198,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ51/pdf/PLAW-118publ51.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ51/pdf/PLAW-118publ51.pdf,2,411,skip,too short (2p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ50/pdf/PLAW-118publ50.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ50/pdf/PLAW-118publ50.pdf,110,50242,skip,too long (110p > 60)
acts,Fiscal Responsibility Act of 2023,https://www.govinfo.gov/content/pkg/PLAW-118publ5/pdf/PLAW-118publ5.pdf,41,18071,kept,
acts,Reforming Intelligence and Securing America Act,https://www.govinfo.gov/content/pkg/PLAW-118publ49/pdf/PLAW-118publ49.pdf,34,14753,kept,
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ48/pdf/PLAW-118publ48.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ48/pdf/PLAW-118publ48.pdf,2,567,skip,too short (2p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ47/pdf/PLAW-118publ47.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ47/pdf/PLAW-118publ47.pdf,401,201098,skip,too long (401p > 60)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ46/pdf/PLAW-118publ46.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ46/pdf/PLAW-118publ46.pdf,1,210,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ45/pdf/PLAW-118publ45.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ45/pdf/PLAW-118publ45.pdf,2,430,skip,too short (2p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ44/pdf/PLAW-118publ44.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ44/pdf/PLAW-118publ44.pdf,2,361,skip,too short (2p < 15)
